groupID,nucleus_size,g_len,r_len,list_size,depth_approx,time_depth_approx,outcome,calls_recoveringl1,calls_test_conj,time_attack
G_12_3_09_3,9,10,100,10,4,132596,1,5,0,26279
G_7_7_07_2,71,10,10,10,8,278122,1,10,0,4716
G_7_10_07_2,29,100,100,10,13,6582410,1,14,0,114444
G_12_7_09_1,15,10,10,10,4,10191,1,5,0,16874
G_3_10_03_2,38,10,100,10,33,34540828,1,36,0,400169
G_12_3_09_3,9,100,100,10,4,132596,1,5,0,25113
G_12_7_09_1,15,100,10,10,4,10191,1,5,0,17611
G_7_7_07_2,71,100,10,10,8,278122,1,10,0,31677
G_7_10_07_3,50,10,100,10,13,10034917,1,15,0,102939
G_12_7_09_2,15,10,10,10,3,9671,1,4,0,17622
G_12_7_09_1,15,10,100,10,5,281100,1,6,0,17170
G_7_10_07_1,53,10,10,10,11,83065,1,13,0,226559
G_12_7_09_3,22,10,10,10,4,5377,1,5,0,18650
G_12_7_09_2,15,100,10,10,3,9671,1,4,0,19871
G_12_7_09_1,15,100,100,10,5,281100,1,6,0,18560
G_12_7_09_3,22,100,10,10,4,5377,1,5,0,18863
G_7_7_07_2,71,10,100,10,11,3585461,1,13,0,39617
G_12_7_09_2,15,10,100,10,4,350388,1,5,0,17069
G_12_7_09_3,22,10,100,10,5,306167,1,6,0,18747
G_12_7_09_2,15,100,100,10,4,350388,1,5,0,19799
G_12_7_09_3,22,100,100,10,5,306167,1,6,0,18861
G_7_7_07_1,19,100,100,10,14,6381432,1,15,0,360674
G_7_7_07_2,71,100,100,10,11,3585461,1,13,0,106099
G_7_10_07_1,53,100,10,10,11,83065,1,13,0,155088
G_20_3_09_1,7,10,10,10,4,23952,1,5,0,134824
G_20_3_09_3,7,10,10,10,4,20521,1,5,0,120280
G_20_3_09_2,7,10,10,10,3,18736,1,4,0,134479
G_20_7_09_1,17,10,10,10,4,41725,1,5,0,113524
G_7_10_07_3,50,100,100,10,13,10034917,1,15,0,239714
G_20_7_09_2,15,10,10,10,4,38705,1,5,0,123324
