groupID,nucleus_size,g_len,r_len,list_size,depth_approx,time_depth_approx,outcome,calls_recoveringl1,calls_test_conj,time_attack
GGS_19_3,37,100,1000,5,4,16738573,1,788,35691,73332
GGS_19_3,37,100,1000,10,4,16738573,1,247,10984,34911
GGS_19_1,37,100,1000,50,4,18963155,1,41,3122,23157
GGS_19_3,37,1000,1000,10,4,16738573,1,67,1726,34042
GGS_19_1,37,100,1000,50,4,18963155,1,48,3751,29525
GGS_19_3,37,10,1000,50,4,16738573,1,407,25155,55138
GGS_19_3,37,10,1000,50,4,16738573,1,37,2007,19931
GGS_19_1,37,100,1000,50,4,18963155,1,33,2480,21543
GGS_19_3,37,100,1000,5,4,16738573,1,1027,41050,89114
GGS_19_3,37,10,1000,50,4,16738573,1,26,1441,16911
GGS_19_1,37,100,1000,50,4,18963155,1,42,3312,26439
GGS_19_3,37,100,1000,5,4,16738573,1,52,2320,18799
GGS_19_3,37,1000,1000,10,4,16738573,1,663,12372,91725
GGS_19_3,37,100,1000,5,4,16738573,1,120,5104,23772
GGS_19_3,37,100,1000,5,4,16738573,1,45,2009,20169
GGS_19_3,37,1000,1000,10,4,16738573,1,46,943,33773
GGS_19_3,37,1000,1000,10,4,16738573,1,29,748,25864
GGS_19_3,37,100,1000,5,4,16738573,1,390,18935,45030
GGS_19_3,37,100,1000,5,4,16738573,1,36,1439,15775
GGS_19_3,37,1000,1000,10,4,16738573,0,115,3183,22938
GGS_19_3,37,10,1000,50,4,16738573,1,1525,100892,159840
GGS_19_3,37,100,1000,5,4,16738573,1,35,1343,20422
GGS_19_2,37,1000,1000,50,4,17809211,1,917,65092,482058
GGS_19_3,37,10,1000,50,4,16738573,1,749,46626,81678
GGS_19_3,37,100,1000,5,4,16738573,1,1264,54687,98512
GGS_19_3,37,1000,1000,5,4,16738573,0,1,55,341
GGS_19_3,37,10,1000,50,4,16738573,1,22,1009,24517
GGS_19_3,37,1000,1000,5,4,16738573,0,20,145,3829
GGS_19_1,37,100,1000,50,4,18963155,1,1501,125560,285294
GGS_19_2,37,1000,1000,10,4,17809211,1,6252,215687,890637
GGS_19_3,37,1000,1000,5,4,16738573,0,77,2344,9213
GGS_19_3,37,1000,1000,10,4,16738573,1,1522,42305,166903
GGS_19_1,37,100,1000,50,4,18963155,1,40,2826,23165
GGS_19_2,37,1000,1000,50,4,17809211,1,116,9228,81396
GGS_19_2,37,1000,1000,10,4,17809211,1,34,1009,32259
GGS_19_3,37,1000,1000,5,4,16738573,1,97,2515,33246
GGS_19_1,37,100,1000,50,4,18963155,1,23,1407,22887
GGS_19_3,37,10,1000,50,4,16738573,1,553,37710,67684
GGS_19_3,37,1000,1000,5,4,16738573,0,58,1437,6686
GGS_19_3,37,1000,1000,10,4,16738573,0,438,7279,54976
GGS_19_3,37,1000,1000,5,4,16738573,0,77,1683,9697
GGS_19_1,37,100,1000,50,4,18963155,1,32,2460,26014
GGS_19_3,37,1000,1000,5,4,16738573,0,20,324,3818
GGS_19_2,37,1000,1000,50,4,17809211,1,73,5957,62951
GGS_19_3,37,1000,1000,10,4,16738573,1,75,1406,39251
GGS_19_3,37,1000,1000,5,4,16738573,1,47,1482,29663
GGS_19_2,37,1000,1000,50,4,17809211,1,20,1400,36177
GGS_19_1,37,1000,1000,50,4,18963155,1,31,2180,48758
GGS_19_3,37,1000,1000,5,4,16738573,0,39,633,6013
GGS_19_3,37,1000,1000,5,4,16738573,0,1,55,333
GGS_19_3,37,10,1000,50,4,16738573,1,784,56593,102786
GGS_19_3,37,1000,1000,10,4,16738573,1,150,4551,49243
GGS_19_1,37,1000,1000,50,4,18963155,1,48,3887,56761
GGS_19_3,37,10,1000,50,4,16738573,1,411,24875,49630
GGS_19_3,37,100,1000,50,4,16738573,1,111,8630,33120
GGS_19_3,37,1000,1000,10,4,16738573,1,460,12450,83225
GGS_19_3,37,100,1000,50,4,16738573,1,37,2841,23811
GGS_19_3,37,100,1000,50,4,16738573,1,35,2419,22591
GGS_19_3,37,100,1000,50,4,16738573,1,40,2879,25062
GGS_19_1,37,1000,1000,10,4,18963155,1,7754,209560,969068
GGS_19_3,37,100,1000,50,4,16738573,1,601,47928,96552
GGS_19_1,37,1000,1000,10,4,18963155,1,60,888,38718
GGS_19_1,37,1000,1000,10,4,18963155,0,58,1434,13658
GGS_19_3,37,100,1000,50,4,16738573,1,313,28006,63654
GGS_19_1,37,1000,1000,10,4,18963155,1,91,2714,46729
GGS_19_3,37,100,1000,50,4,16738573,1,31,2208,21925
GGS_19_1,37,1000,1000,10,4,18963155,1,94,2205,46634
GGS_19_1,37,1000,1000,10,4,18963155,1,60,1558,38988
GGS_19_1,37,1000,1000,10,4,18963155,0,20,382,6319
GGS_19_1,37,1000,1000,10,4,18963155,1,146,4134,49338
GGS_19_3,37,100,1000,50,4,16738573,1,1121,94732,179325
GGS_19_3,37,100,1000,50,4,16738573,1,37,2595,25268
GGS_19_1,37,1000,1000,10,4,18963155,1,74,1481,42883
GGS_19_3,37,100,1000,50,4,16738573,1,43,3396,21314
GGS_19_3,37,1000,1000,50,4,16738573,1,58,4408,53051
GGS_19_3,37,1000,1000,50,4,16738573,1,38,2723,43568
GGS_19_2,37,1000,1000,10,4,17809211,0,9045,215404,1117288
GGS_19_2,37,1000,1000,10,4,17809211,1,238,5793,52535
GGS_19_2,37,1000,1000,10,4,17809211,1,654,12714,99624
G_12_3_07_2,13,100,100,10,10,11879440,-1
GGS_19_2,37,1000,1000,10,4,17809211,1,108,2408,37244
GGS_19_2,37,1000,1000,10,4,17809211,1,1365,32038,171245
GGS_19_2,37,1000,1000,10,4,17809211,0,20,385,5882
GGS_19_1,37,1000,1000,50,4,18963155,1,2600,206119,1453807
GGS_19_1,37,1000,1000,50,4,18963155,1,822,66311,509070
GGS_19_1,37,1000,1000,50,4,18963155,1,31,2108,41406
GGS_19_1,37,1000,1000,50,4,18963155,1,126,10319,104614
G_3_3_03_3,21,10,100,5,22,22177303,-1
GGS_19_1,37,1000,1000,50,4,18963155,1,22,1346,39800
GGS_19_1,37,1000,1000,50,4,18963155,1,401,31605,249459
GGS_19_1,37,1000,1000,50,4,18963155,1,1179,98045,673313
GGS_19_1,37,1000,1000,50,4,18963155,1,774,61730,442101
GGS_19_3,37,1000,1000,50,4,16738573,1,7284,569140,3255283
GGS_19_3,37,1000,1000,50,4,16738573,1,26,2092,37619
G_12_3_07_2,13,100,100,10,10,11879440,-1
GGS_19_3,37,1000,1000,50,4,16738573,1,1700,142231,860296
GGS_19_3,37,1000,1000,50,4,16738573,1,268,21429,155732
G_3_3_03_3,21,10,100,5,22,22177303,-1
G_12_3_07_2,13,100,100,10,10,11879440,-1
GGS_19_3,37,1000,1000,50,4,16738573,-1
GGS_19_3,37,1000,1000,50,4,16738573,1,39,2728,39128
GGS_19_3,37,1000,1000,50,4,16738573,1,39,2978,44259
GGS_19_3,37,1000,1000,50,4,16738573,1,338,29603,191391
G_3_3_03_3,21,10,100,5,22,22177303,-1
G_12_3_07_2,13,100,100,10,10,11879440,-1
G_12_3_07_2,13,100,100,50,10,11879440,1,11,0,465121
G_3_3_03_3,21,10,100,10,22,22177303,-1
G_12_3_07_2,13,100,100,50,10,11879440,1,11,0,636610
G_12_3_07_2,13,100,100,50,10,11879440,1,11,0,250804
G_12_3_07_2,13,100,100,50,10,11879440,1,11,0,436369
G_12_3_07_2,13,100,100,50,10,11879440,1,11,0,235539
G_12_3_07_2,13,100,100,50,10,11879440,1,11,0,1079625
G_12_3_07_2,13,100,100,50,10,11879440,1,11,0,365927
G_3_3_03_3,21,10,100,10,22,22177303,-1
G_12_3_07_2,13,100,100,50,10,11879440,1,11,0,1241979
G_12_3_07_2,13,100,100,50,10,11879440,1,11,0,1677541
G_12_3_07_2,13,100,100,50,10,11879440,1,11,0,428311
G_3_3_03_3,21,10,100,10,22,22177303,-1
G_3_3_03_3,21,10,100,10,22,22177303,-1
G_3_3_03_3,21,10,100,10,22,22177303,-1
G_3_3_03_3,21,10,100,10,22,22177303,-1
G_3_3_03_3,21,10,100,10,22,22177303,-1
G_3_3_03_3,21,10,100,10,22,22177303,-1
G_3_3_03_3,21,10,100,10,22,22177303,-1
G_3_3_03_3,21,10,100,10,22,22177303,-1
G_3_3_03_3,21,10,100,50,22,22177303,-3
G_3_3_03_3,21,10,100,50,22,22177303,1,25,0,1397319
G_3_3_03_3,21,10,100,50,22,22177303,1,25,0,563521
G_3_3_03_3,21,10,100,50,22,22177303,-1
G_3_3_03_3,21,10,100,50,22,22177303,-3
G_3_3_03_3,21,10,100,50,22,22177303,-1
G_3_3_03_3,21,10,100,50,22,22177303,-1
G_3_3_03_3,21,10,100,50,22,22177303,-1
G_3_3_03_3,21,10,100,50,22,22177303,-1
G_3_3_03_3,21,10,100,50,22,22177303,-3
G_3_3_03_3,21,100,100,5,22,22177303,-1
G_3_3_03_3,21,100,100,5,22,22177303,-1
G_3_3_03_3,21,100,100,5,22,22177303,-1
G_3_3_03_3,21,100,100,5,22,22177303,-3
G_3_3_03_3,21,100,100,5,22,22177303,-1
G_3_3_03_3,21,100,100,5,22,22177303,-1
G_3_3_03_3,21,100,100,5,22,22177303,-1
G_3_3_03_3,21,100,100,5,22,22177303,-1
G_3_3_03_3,21,100,100,5,22,22177303,-1
G_3_3_03_3,21,100,100,5,22,22177303,-1
G_3_3_03_3,21,100,100,10,22,22177303,-1
G_3_3_03_3,21,100,100,10,22,22177303,-1
G_3_3_03_3,21,100,100,10,22,22177303,-1
G_3_3_03_3,21,100,100,10,22,22177303,-3
G_3_3_03_3,21,100,100,10,22,22177303,-1
G_3_3_03_3,21,100,100,10,22,22177303,-1
G_3_3_03_3,21,100,100,10,22,22177303,-1
G_3_3_03_3,21,100,100,10,22,22177303,-1
G_3_3_03_3,21,100,100,10,22,22177303,-1
G_3_3_03_3,21,100,100,10,22,22177303,-1
G_3_3_03_3,21,100,100,50,22,22177303,-1
G_3_3_03_3,21,100,100,50,22,22177303,-1
G_3_3_03_3,21,100,100,50,22,22177303,-1
G_3_3_03_3,21,100,100,50,22,22177303,-1
G_3_3_03_3,21,100,100,50,22,22177303,-1
G_3_3_03_3,21,100,100,50,22,22177303,-3
G_3_3_03_3,21,100,100,50,22,22177303,-3
G_3_3_03_3,21,100,100,50,22,22177303,-1
G_3_3_03_3,21,100,100,50,22,22177303,-1
G_3_3_03_3,21,100,100,50,22,22177303,-1
GGS_STAB_3_1,5,10,10,5,3,1158,1,7,83,97
GGS_STAB_3_1,5,10,10,5,3,1158,1,11,54,91
GGS_STAB_3_1,5,10,10,5,3,1158,1,10,90,102
GGS_STAB_3_1,5,10,10,5,3,1158,1,10,193,132
GGS_STAB_3_1,5,10,10,5,3,1158,1,10,58,93
GGS_STAB_3_1,5,10,10,5,3,1158,1,9,99,119
GGS_STAB_3_1,5,10,10,5,3,1158,1,8,160,101
GGS_STAB_3_1,5,10,10,5,3,1158,1,9,90,88
GGS_STAB_3_1,5,10,10,5,3,1158,1,7,203,91
GGS_STAB_3_1,5,10,10,5,3,1158,1,9,97,83
GGS_STAB_3_1,5,100,10,5,3,1158,1,6,49,115
GGS_STAB_3_1,5,100,10,5,3,1158,1,7,160,126
GGS_STAB_3_1,5,100,10,5,3,1158,1,7,124,116
GGS_STAB_3_1,5,100,10,5,3,1158,1,5,28,111
GGS_STAB_3_1,5,100,10,5,3,1158,1,9,221,127
GGS_STAB_3_1,5,100,10,5,3,1158,1,5,32,97
GGS_STAB_3_1,5,100,10,5,3,1158,1,6,91,113
GGS_STAB_3_1,5,100,10,5,3,1158,1,5,50,118
GGS_STAB_3_1,5,100,10,5,3,1158,1,7,152,147
GGS_STAB_3_1,5,100,10,5,3,1158,1,7,137,124
GGS_STAB_3_1,5,1000,10,5,3,1158,1,5,37,234
GGS_STAB_3_1,5,1000,10,5,3,1158,1,5,60,222
GGS_STAB_3_1,5,1000,10,5,3,1158,1,5,14,209
GGS_STAB_3_1,5,1000,10,5,3,1158,1,5,36,191
GGS_STAB_3_1,5,1000,10,5,3,1158,1,5,19,222
GGS_STAB_3_1,5,1000,10,5,3,1158,1,5,13,248
GGS_STAB_3_1,5,1000,10,5,3,1158,1,5,23,260
GGS_STAB_3_1,5,1000,10,5,3,1158,1,5,7,202
GGS_STAB_3_1,5,1000,10,5,3,1158,1,5,22,244
GGS_STAB_3_1,5,1000,10,5,3,1158,1,5,14,220
GGS_STAB_3_1,5,10,100,5,5,14085,1,10,269,142
GGS_STAB_3_1,5,10,100,5,5,14085,1,10,206,140
GGS_STAB_3_1,5,10,100,5,5,14085,1,12,278,142
GGS_STAB_3_1,5,10,100,5,5,14085,1,13,349,172
GGS_STAB_3_1,5,10,100,5,5,14085,1,14,271,151
GGS_STAB_3_1,5,10,100,5,5,14085,1,9,170,146
GGS_STAB_3_1,5,10,100,5,5,14085,1,13,346,166
GGS_STAB_3_1,5,10,100,5,5,14085,1,10,169,143
GGS_STAB_3_1,5,10,100,5,5,14085,1,10,139,131
GGS_STAB_3_1,5,10,100,5,5,14085,1,10,129,126
GGS_STAB_3_1,5,100,100,5,5,14085,1,12,157,125
GGS_STAB_3_1,5,100,100,5,5,14085,1,13,169,118
GGS_STAB_3_1,5,100,100,5,5,14085,1,12,236,141
GGS_STAB_3_1,5,100,100,5,5,14085,1,14,244,137
GGS_STAB_3_1,5,100,100,5,5,14085,1,15,258,140
GGS_STAB_3_1,5,100,100,5,5,14085,1,13,130,101
GGS_STAB_3_1,5,100,100,5,5,14085,0,7,182,129
GGS_STAB_3_1,5,100,100,5,5,14085,1,14,175,126
GGS_STAB_3_1,5,100,100,5,5,14085,1,12,375,228
GGS_STAB_3_1,5,100,100,5,5,14085,1,15,365,175
GGS_STAB_3_1,5,1000,100,5,5,14085,1,10,144,273
GGS_STAB_3_1,5,1000,100,5,5,14085,1,9,131,293
GGS_STAB_3_1,5,1000,100,5,5,14085,1,10,255,374
GGS_STAB_3_1,5,1000,100,5,5,14085,1,9,141,255
GGS_STAB_3_1,5,1000,100,5,5,14085,1,10,206,308
GGS_STAB_3_1,5,1000,100,5,5,14085,1,11,228,263
GGS_STAB_3_1,5,1000,100,5,5,14085,1,14,508,447
GGS_STAB_3_1,5,1000,100,5,5,14085,1,8,136,264
GGS_STAB_3_1,5,1000,100,5,5,14085,1,8,98,284
GGS_STAB_3_1,5,1000,100,5,5,14085,1,24,481,413
GGS_STAB_3_1,5,10,1000,5,6,476603,1,11,199,385
GGS_STAB_3_1,5,10,1000,5,6,476603,1,13,294,350
GGS_STAB_3_1,5,10,1000,5,6,476603,1,11,212,323
GGS_STAB_3_1,5,10,1000,5,6,476603,1,13,317,348
GGS_STAB_3_1,5,10,1000,5,6,476603,1,13,306,377
GGS_STAB_3_1,5,10,1000,5,6,476603,1,14,319,352
GGS_STAB_3_1,5,10,1000,5,6,476603,1,12,299,371
GGS_STAB_3_1,5,10,1000,5,6,476603,1,12,254,362
GGS_STAB_3_1,5,10,1000,5,6,476603,1,11,323,366
GGS_STAB_3_1,5,10,1000,5,6,476603,1,12,202,372
GGS_STAB_3_1,5,10,10,10,3,1158,1,10,113,118
GGS_STAB_3_1,5,100,1000,5,6,476603,1,11,200,287
GGS_STAB_3_1,5,10,10,10,3,1158,1,9,100,128
GGS_STAB_3_1,5,10,10,10,3,1158,1,9,222,143
GGS_STAB_3_1,5,10,10,10,3,1158,1,11,154,118
GGS_STAB_3_1,5,100,1000,5,6,476603,1,11,190,310
GGS_STAB_3_1,5,10,10,10,3,1158,1,8,126,134
GGS_STAB_3_1,5,10,10,10,3,1158,1,11,175,121
GGS_STAB_3_1,5,100,1000,5,6,476603,1,14,374,274
GGS_STAB_3_1,5,10,10,10,3,1158,1,7,94,102
GGS_STAB_3_1,5,10,10,10,3,1158,1,10,201,124
GGS_STAB_3_1,5,10,10,10,3,1158,1,8,64,92
GGS_STAB_3_1,5,100,1000,5,6,476603,1,13,340,295
GGS_STAB_3_1,5,10,10,10,3,1158,1,10,82,104
GGS_STAB_3_1,5,10,10,50,3,1158,1,9,280,213
GGS_STAB_3_1,5,100,1000,5,6,476603,1,10,240,286
GGS_STAB_3_1,5,10,10,50,3,1158,1,9,219,211
GGS_STAB_3_1,5,100,1000,5,6,476603,1,11,238,284
GGS_STAB_3_1,5,10,10,50,3,1158,1,8,218,216
GGS_STAB_3_1,5,10,10,50,3,1158,1,8,250,227
GGS_STAB_3_1,5,100,1000,5,6,476603,1,13,307,259
GGS_STAB_3_1,5,10,10,50,3,1158,1,8,139,202
GGS_STAB_3_1,5,100,1000,5,6,476603,1,10,148,261
GGS_STAB_3_1,5,10,10,50,3,1158,1,9,253,214
GGS_STAB_3_1,5,10,10,50,3,1158,1,7,127,214
GGS_STAB_3_1,5,100,1000,5,6,476603,1,13,300,307
GGS_STAB_3_1,5,10,10,50,3,1158,1,7,173,230
GGS_STAB_3_1,5,100,1000,5,6,476603,1,11,291,288
GGS_STAB_3_1,5,10,10,50,3,1158,1,9,300,222
GGS_STAB_3_1,5,10,10,50,3,1158,1,8,121,205
GGS_STAB_3_1,5,1000,1000,5,6,476603,1,12,162,263
GGS_STAB_3_1,5,100,10,10,3,1158,1,6,65,121
GGS_STAB_3_1,5,100,10,10,3,1158,1,6,49,126
GGS_STAB_3_1,5,100,10,10,3,1158,1,5,17,117
GGS_STAB_3_1,5,1000,1000,5,6,476603,1,16,282,282
GGS_STAB_3_1,5,100,10,10,3,1158,1,5,36,115
GGS_STAB_3_1,5,100,10,10,3,1158,1,7,161,150
GGS_STAB_3_1,5,100,10,10,3,1158,1,7,125,140
GGS_STAB_3_1,5,100,10,10,3,1158,1,6,76,128
GGS_STAB_3_1,5,1000,1000,5,6,476603,1,17,341,487
GGS_STAB_3_1,5,100,10,10,3,1158,1,5,25,122
