groupID,nucleus_size,g_len,r_len,list_size,depth_approx,time_depth_approx,outcome,time_attack
IMG,4,4,100,5,14,12,1,95148
GGS_STAB_3_1,5,3,100,10,5,14085,0,425730
IMG,4,4,100,5,14,12,1,91691
GGS_STAB_3_2,5,3,100,5,5,14406,0,900786
IMG,4,4,100,5,14,12,1,89725
GGS_STAB_3_1,5,3,100,5,5,14085,0,392710
IMG,4,4,100,5,14,12,1,75789
IMG,4,4,100,5,14,12,1,82118
GGS_STAB_3_2,5,3,100,10,5,14406,0,695150
GGS_STAB_3_1,5,3,100,5,5,14085,0,158550
GGS_STAB_3_1,5,3,100,10,5,14085,0,386799
GRIGORCHUK,5,4,100,10,7,36,1,1490827
GRIGORCHUK,5,4,100,5,7,36,0,1337226
IMG,4,4,1000,10,20,12,1,905819
GGS_STAB_3_1,5,3,100,10,5,14085,0,404037
GGS_STAB_3_1,5,3,100,5,5,14085,0,469687
GGS_STAB_3_2,5,3,100,5,5,14406,0,771061
GGS_STAB_3_2,5,3,100,10,5,14406,0,716845
GGS_STAB_3_1,5,3,100,10,5,14085,0,457034
IMG,4,4,1000,10,20,12,1,689475
GGS_STAB_3_2,5,3,100,5,5,14406,0,812922
GGS_STAB_3_2,5,3,100,10,5,14406,0,729064
GRIGORCHUK,5,4,100,10,7,36,1,1439006
IMG,4,4,1000,5,20,12,1,1575510
GRIGORCHUK,5,4,100,5,7,36,0,1479358
IMG,4,4,1000,10,20,12,1,788976
GGS_STAB_3_2,5,3,100,5,5,14406,0,870284
GGS_STAB_3_2,5,3,100,10,5,14406,0,854585
IMG,4,4,1000,5,20,12,1,783975
IMG,4,4,1000,10,20,12,1,750542
GGS_STAB_3_2,5,3,100,5,5,14406,0,743463
IMG,4,4,1000,5,20,12,1,789604
GRIGORCHUK,5,4,100,5,7,36,0,1454259
GGS_STAB_3_2,5,3,100,10,5,14406,0,832921
GRIGORCHUK,5,4,100,10,7,36,1,1627509
IMG,4,4,1000,10,20,12,1,881891
GGS_STAB_3_2,5,3,100,5,5,14406,0,695813
GGS_STAB_3_2,5,3,100,10,5,14406,0,708688
GGS_STAB_3_1,5,3,1000,5,6,476603,-1
IMG,4,4,1000,10,20,12,1,822854
GGS_STAB_3_1,5,3,1000,10,6,476603,-1
GGS_STAB_3_2,5,3,100,10,5,14406,0,694600
GRIGORCHUK,5,4,100,10,7,36,1,1443405
IMG,4,4,1000,5,20,12,1,1474158
GRIGORCHUK,5,4,100,5,7,36,0,1661905
GGS_STAB_3_2,5,3,100,5,5,14406,0,1443549
IMG,4,4,1000,10,20,12,1,900946
IMG,4,4,1000,5,20,12,1,764556
GGS_STAB_3_2,5,3,100,5,5,14406,0,718737
GRIGORCHUK,5,4,100,10,7,36,1,1417909
IMG,4,4,1000,5,20,12,1,1001554
GRIGORCHUK,5,4,100,5,7,36,0,1696149
GRIGORCHUK,5,4,100,10,7,36,1,1624653
GGS_STAB_3_1,5,3,1000,5,6,476603,-1
GRIGORCHUK,5,4,100,5,7,36,0,1453935
IMG,4,4,1000,5,20,12,1,1732840
GGS_STAB_3_1,5,3,1000,10,6,476603,-1
