groupID,nucleus_size,g_len,r_len,list_size,depth_approx,time_depth_approx,outcome,calls_recoveringl1,calls_test_conj,time_attack
G_3_3_03_1,41,10,100,10,17,3439204,-1
G_12_3_07_1,27,10,100,10,11,12197752,-1
G_7_10_07_3,50,10,100,10,13,10034917,-1
G_3_3_03_3,21,10,100,10,22,22177303,-1
G_3_3_03_2,33,10,100,10,21,16841030,-1
G_12_3_07_2,13,10,100,10,10,11879440,-1
G_20_7_09_2,15,10,10,10,4,38705,-1
G_12_3_07_3,21,10,100,10,8,5717919,-1
G_20_10_09_1,23,10,10,10,4,39054,-1
G_12_3_09_1,7,10,100,10,5,211599,-1
G_20_10_09_2,21,10,10,10,5,83337,-1
G_12_3_09_2,7,10,100,10,5,200850,-1
G_20_10_09_3,21,10,10,10,4,52140,-1
G_12_3_09_3,9,10,100,10,4,132596,-1
G_7_7_07_2,71,10,100,10,11,3585461,-1
G_12_7_09_1,15,10,100,10,5,281100,-1
G_12_7_09_2,15,10,100,10,4,350388,-1
G_12_7_09_3,22,10,100,10,5,306167,-1
G_20_3_09_1,7,10,100,10,5,1032832,-1
G_20_3_09_2,7,10,100,10,4,1260330,-1
G_20_3_09_3,7,10,100,10,5,864033,-1
G_20_7_09_1,17,10,100,10,6,2184763,-1
G_20_7_09_2,15,10,100,10,5,2337428,-1
G_3_7_03_1,14,100,100,10,19,3238592,-1
G_3_7_03_2,34,100,100,10,19,3899733,-1
G_3_10_03_1,25,100,100,10,28,15380171,-1
G_3_10_03_2,38,100,100,10,33,34540828,-1
G_7_7_07_1,19,100,100,10,14,6381432,-1
G_20_7_09_3,15,100,10,10,4,33095,-1
G_7_7_07_3,19,100,100,10,13,5078029,-1
G_7_10_07_2,29,100,100,10,13,6582410,-1
G_3_3_03_1,41,100,100,10,17,3439204,-1
G_7_10_07_1,53,100,100,10,14,12122566,-1
G_12_3_07_1,27,100,100,10,11,12197752,-1
G_7_10_07_3,50,100,100,10,13,10034917,-1
G_3_3_03_3,21,100,100,10,22,22177303,-1
G_3_3_03_2,33,100,100,10,21,16841030,-1
G_12_3_07_2,13,100,100,10,10,11879440,-1
G_20_7_09_2,15,100,10,10,4,38705,-1
G_12_3_07_3,21,100,100,10,8,5717919,-1
G_20_10_09_1,23,100,10,10,4,39054,-1
G_12_3_09_1,7,100,100,10,5,211599,-1
G_20_10_09_2,21,100,10,10,5,83337,-1
G_12_3_09_2,7,100,100,10,5,200850,-1
G_20_10_09_3,21,100,10,10,4,52140,-1
G_12_3_09_3,9,100,100,10,4,132596,-1
G_7_7_07_2,71,100,100,10,11,3585461,-1
G_12_7_09_1,15,100,100,10,5,281100,-1
G_12_7_09_2,15,100,100,10,4,350388,-1
G_12_7_09_3,22,100,100,10,5,306167,-1
G_20_3_09_1,7,100,100,10,5,1032832,-1
G_20_3_09_2,7,100,100,10,4,1260330,-1
G_20_3_09_3,7,100,100,10,5,864033,-1
G_20_7_09_1,17,100,100,10,6,2184763,-1
G_20_7_09_2,15,100,100,10,5,2337428,-1
G_20_7_09_3,15,10,100,10,5,2198616,-1
G_20_7_09_2,15,10,100,10,5,2337428,-1
G_20_10_09_1,23,10,100,10,5,1976553,-1
G_20_10_09_2,21,10,100,10,7,5031747,-1
G_20_10_09_3,21,10,100,10,6,2442418,-1
G_20_7_09_3,15,100,100,10,5,2198616,-1
G_20_7_09_2,15,100,100,10,5,2337428,-1
G_20_10_09_1,23,100,100,10,5,1976553,-1
G_20_10_09_2,21,100,100,10,7,5031747,-1
G_20_10_09_3,21,100,100,10,6,2442418,-1
